uniprot_id,Protein names,Gene names,Fasta headers,id,MCF10A_UT_1,MCF10A_UT_2,MCF10A_UT_3,MDA_MB_231_UT_1,MDA_MB_231_UT_2,MDA_MB_231_UT_3,HCC1937_UT_1,HCC1937_UT_2,HCC1937_UT_3,MCF10A_TR_1,MCF10A_TR_2,MCF10A_TR_3,MDA_MB_231_TR_1,MDA_MB_231_TR_2,MDA_MB_231_TR_3,HCC1937_TR_1,HCC1937_TR_2,HCC1937_TR_3
A0A2R8Y2X6,Bicaudal D-related protein 2,CCDC64B,tr|A0A2R8Y2X6|A0A2R8Y2X6_HUMAN BICD family-like cargo adapter 2 OS=Homo sapiens OX=9606 GN=BICDL2 PE=1 SV=1;sp|A1A5D9|BICL2_HUMAN BICD family-like cargo adapter 2 OS=Homo sapiens OX=9606 GN=BICDL2 PE=1 SV=2,748,0,0,0,0,0,0,0,0,0,9053.6,4082.8,6916.4,4176.3,4256,4236.8,20606,23386,25257
G3XAM2,Complement factor I;Complement factor I heavy chain;Complement factor I light chain,CFI,tr|G3XAM2|G3XAM2_HUMAN Complement factor I OS=Homo sapiens OX=9606 GN=CFI PE=1 SV=1;tr|E7ETH0|E7ETH0_HUMAN Complement factor I OS=Homo sapiens OX=9606 GN=CFI PE=1 SV=1;tr|A0A2R8Y3M9|A0A2R8Y3M9_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A2R8YCL0,Protein SERAC1,SERAC1,tr|A0A2R8YCL0|A0A2R8YCL0_HUMAN Protein SERAC1 OS=Homo sapiens OX=9606 GN=SERAC1 PE=1 SV=1;tr|A0A2R8Y511|A0A2R8Y511_HUMAN Protein SERAC1 OS=Homo sapiens OX=9606 GN=SERAC1 PE=1 SV=1;tr|A0A2R8YFH3|A0A2R8YFH3_HUMAN Protein SERAC1 OS=Homo sapiens OX=9606 GN=SER,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A2R8Y425,,CHD4,tr|A0A2R8Y425|A0A2R8Y425_HUMAN Chromodomain-helicase-DNA-binding protein 4 (Fragment) OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=1;tr|A0A2R8Y5J0|A0A2R8Y5J0_HUMAN Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=1;tr|F5GWX5|F,751,7745600,6812200,6387600,8242000,7686400,8319600,7912900,6723300,7048200,8853900,6351600,7246600,8250100,7979100,7736700,7032700,6950600,7494300
A0A2R8Y589,Centrosomal protein of 78 kDa,CEP78,tr|A0A2R8Y589|A0A2R8Y589_HUMAN Centrosomal protein of 78 kDa OS=Homo sapiens OX=9606 GN=CEP78 PE=1 SV=1;tr|A0A2R8Y4C1|A0A2R8Y4C1_HUMAN Centrosomal protein of 78 kDa OS=Homo sapiens OX=9606 GN=CEP78 PE=1 SV=1;tr|A0A2R8Y7U5|A0A2R8Y7U5_HUMAN Centrosomal prote,752,21122,18166,15735,21849,21926,24931,25867,22176,25214,0,0,0,0,0,0,0,0,0
A0A2R8Y620,COMM domain-containing protein 7,COMMD7,tr|A0A2R8Y620|A0A2R8Y620_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1;tr|A0A2R8Y7U2|A0A2R8Y7U2_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1;tr|A0A2R8Y600|A0A2R8Y600_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606,753,451650,403790,401300,455860,426150,432900,443890,394270,379090,509480,380420,408850,452640,456030,466740,414760,408350,461670
A6NNI4,Tetraspanin;CD9 antigen,CD9,tr|A6NNI4|A6NNI4_HUMAN Tetraspanin OS=Homo sapiens OX=9606 GN=CD9 PE=1 SV=1;tr|A0A2R8Y478|A0A2R8Y478_HUMAN Tetraspanin OS=Homo sapiens OX=9606 GN=CD9 PE=1 SV=1;tr|G8JLH6|G8JLH6_HUMAN Tetraspanin OS=Homo sapiens OX=9606 GN=CD9 PE=1 SV=2;sp|P21926|CD9_HUMAN ,754,1843600,1739800,1464700,4577200,4101800,4683400,7408300,5983100,6294400,1947000,1342900,1695900,5095900,4701200,4622000,6794300,6079000,6690800
A0A2R8Y4E6,"High affinity cAMP-specific and IBMX-insensitive 3,5-cyclic phosphodiesterase 8B",PDE8B,"tr|A0A2R8Y4E6|A0A2R8Y4E6_HUMAN Phosphodiesterase OS=Homo sapiens OX=9606 GN=PDE8B PE=3 SV=1;sp|O95263|PDE8B_HUMAN High affinity cAMP-specific and IBMX-insensitive 3,5-cyclic phosphodiesterase 8B OS=Homo sapiens OX=9606 GN=PDE8B PE=1 SV=2",756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A2R8Y4H2,Neuronal-specific septin-3,3-Sep,tr|A0A2R8Y4H2|A0A2R8Y4H2_HUMAN Neuronal-specific septin-3 OS=Homo sapiens OX=9606 GN=SEPT3 PE=1 SV=1;tr|B1AHR1|B1AHR1_HUMAN Neuronal-specific septin-3 OS=Homo sapiens OX=9606 GN=SEPT3 PE=1 SV=1;sp|Q9UH03|SEPT3_HUMAN Neuronal-specific septin-3 OS=Homo sapie,757,4477.3,2111,4378.8,2612.4,3171.1,1995.7,8079.6,8433.5,8103.8,0,0,0,0,0,0,0,0,0
A0A2R8Y4J4,Required for meiotic nuclear division protein 1 homolog,RMND1,tr|A0A2R8Y4J4|A0A2R8Y4J4_HUMAN Required for meiotic nuclear division protein 1 homolog OS=Homo sapiens OX=9606 GN=RMND1 PE=1 SV=1;sp|Q9NWS8|RMND1_HUMAN Required for meiotic nuclear division protein 1 homolog OS=Homo sapiens OX=9606 GN=RMND1 PE=1 SV=2;tr|A0,759,260330,230830,213810,76419,72822,83728,111800,108030,107580,400220,313950,316830,192060,219310,212240,179260,172520,198980
S6FRS6,SAM domain-containing protein SAMSN-1,SAMSN1,"tr|S6FRS6|S6FRS6_HUMAN SAM domain, SH3 domain and nuclear localization signals 1 OS=Homo sapiens OX=9606 GN=SAMSN1 PE=1 SV=1;tr|A0A2R8Y4K8|A0A2R8Y4K8_HUMAN SAM domain-containing protein SAMSN-1 OS=Homo sapiens OX=9606 GN=SAMSN1 PE=1 SV=1;sp|Q9NSI8|SAMN1_HU",760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F5H777,Coiled-coil domain-containing protein 82,CCDC82,tr|F5H777|F5H777_HUMAN Coiled-coil domain-containing protein 82 (Fragment) OS=Homo sapiens OX=9606 GN=CCDC82 PE=1 SV=1;tr|A0A2R8Y4L3|A0A2R8Y4L3_HUMAN Coiled-coil domain-containing protein 82 OS=Homo sapiens OX=9606 GN=CCDC82 PE=1 SV=1;tr|A0A2R8YE98|A0A2R8Y,761,6209,4594.6,6398.5,11732,14404,13830,6046.8,6038.2,5363.4,19645,17783,16539,42317,49327,35938,13281,14676,13558
E9PGF5,Tensin-1,TNS1,tr|E9PGF5|E9PGF5_HUMAN Tensin-1 OS=Homo sapiens OX=9606 GN=TNS1 PE=1 SV=1;tr|E9PF55|E9PF55_HUMAN Tensin-1 OS=Homo sapiens OX=9606 GN=TNS1 PE=1 SV=1;tr|A0A2R8Y4T1|A0A2R8Y4T1_HUMAN Tensin-1 OS=Homo sapiens OX=9606 GN=TNS1 PE=1 SV=1;sp|Q9HBL0|TENS1_HUMAN Tens,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A2R8YFL3,Interferon gamma receptor 1,IFNGR1,tr|A0A2R8YFL3|A0A2R8YFL3_HUMAN Interferon gamma receptor 1 OS=Homo sapiens OX=9606 GN=IFNGR1 PE=1 SV=1;tr|A0A2R8Y7R1|A0A2R8Y7R1_HUMAN Interferon gamma receptor 1 OS=Homo sapiens OX=9606 GN=IFNGR1 PE=1 SV=1;tr|A0A2R8Y4U4|A0A2R8Y4U4_HUMAN Interferon gamma re,764,140650,123780,117180,137990,152290,148760,144630,129250,126370,21894,17136,19025,27557,29173,24358,29727,23485,26278
Q9UQ90,Paraplegin,SPG7,sp|Q9UQ90|SPG7_HUMAN Paraplegin OS=Homo sapiens OX=9606 GN=SPG7 PE=1 SV=2;tr|A0A2U3TZH1|A0A2U3TZH1_HUMAN Paraplegin OS=Homo sapiens OX=9606 GN=SPG7 PE=1 SV=1;tr|A0A2R8YFW4|A0A2R8YFW4_HUMAN Paraplegin OS=Homo sapiens OX=9606 GN=SPG7 PE=1 SV=1;tr|A0A2R8Y4Y7|,765,306580,335100,258040,73749,82454,87613,221940,215860,217070,130450,96092,104150,22390,27252,26242,81612,83669,84720
A0A2R8Y4Z0,Cyclin-dependent kinase 13,CDK13,tr|A0A2R8Y4Z0|A0A2R8Y4Z0_HUMAN Cyclin-dependent kinase 13 (Fragment) OS=Homo sapiens OX=9606 GN=CDK13 PE=1 SV=1;sp|Q14004|CDK13_HUMAN Cyclin-dependent kinase 13 OS=Homo sapiens OX=9606 GN=CDK13 PE=1 SV=2,766,294920,259370,255850,295820,291830,300870,398600,356200,353890,220140,159560,167840,185610,195280,197280,201840,185060,211470
A0A2R8Y4Z8,,,tr|A0A2R8Y4Z8|A0A2R8Y4Z8_HUMAN Coiled-coil domain-containing protein 9 OS=Homo sapiens OX=9606 GN=CCDC9 PE=1 SV=1,768,254300,249590,211480,355510,314650,345400,443330,367910,382770,723040,503050,591340,894020,901210,873720,792480,949840,921540
A0A2R8YCF6,Probable E3 ubiquitin-protein ligase TRIM8,TRIM8,tr|A0A2R8YCF6|A0A2R8YCF6_HUMAN E3 ubiquitin-protein ligase TRIM8 (Fragment) OS=Homo sapiens OX=9606 GN=TRIM8 PE=1 SV=1;tr|A0A2R8YD00|A0A2R8YD00_HUMAN E3 ubiquitin-protein ligase TRIM8 (Fragment) OS=Homo sapiens OX=9606 GN=TRIM8 PE=1 SV=1;tr|R4GN03|R4GN03_H,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A2R8Y549,InaD-like protein,INADL,tr|A0A2R8Y549|A0A2R8Y549_HUMAN InaD-like protein OS=Homo sapiens OX=9606 GN=PATJ PE=1 SV=1;sp|Q8NI35|INADL_HUMAN InaD-like protein OS=Homo sapiens OX=9606 GN=PATJ PE=1 SV=3;tr|A0A0X1KG69|A0A0X1KG69_HUMAN InaD-like protein OS=Homo sapiens OX=9606 GN=PATJ PE,770,180360,159670,157830,99319,79057,94959,680900,578400,612690,158230,108320,136670,90391,100950,91685,438450,450950,459020
A0A2R8Y566,,KIAA1468,tr|A0A2R8Y566|A0A2R8Y566_HUMAN RAB11-binding protein RELCH OS=Homo sapiens OX=9606 GN=RELCH PE=1 SV=1;tr|A0A075B785|A0A075B785_HUMAN RAB11-binding protein RELCH OS=Homo sapiens OX=9606 GN=RELCH PE=1 SV=7,771,0,0,0,0,0,0,0,0,0,18742,16887,20890,10948,11313,9815.7,3729.8,4059.6,3883.7
A0A2R8Y595,Transcriptional repressor CTCF,CTCF,tr|A0A2R8Y595|A0A2R8Y595_HUMAN Transcriptional repressor CTCF OS=Homo sapiens OX=9606 GN=CTCF PE=1 SV=1;tr|A0A2R8YFL0|A0A2R8YFL0_HUMAN Transcriptional repressor CTCF OS=Homo sapiens OX=9606 GN=CTCF PE=1 SV=1;sp|P49711|CTCF_HUMAN Transcriptional repressor C,773,272940,290260,242440,245020,192250,208020,265280,258060,230500,452800,336190,379130,342180,324690,281630,365160,400680,355040
A0A2R8YCH5,Catenin beta-1,CTNNB1,tr|A0A2R8YCH5|A0A2R8YCH5_HUMAN Catenin beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1;tr|A0A2R8Y5A3|A0A2R8Y5A3_HUMAN Catenin beta-1 OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1;sp|P35222|CTNB1_HUMAN Catenin beta-1 OS=Homo sapiens OX=9606 GN=C,774,4090900,3822800,3437600,2201200,2053600,2066900,9336700,7831600,7526900,5486300,4073500,4476400,2521500,2613100,2347700,9692200,9147000,9246900
O43520,Phospholipid-transporting ATPase IC,ATP8B1,sp|O43520|AT8B1_HUMAN Phospholipid-transporting ATPase IC OS=Homo sapiens OX=9606 GN=ATP8B1 PE=1 SV=3;tr|A0A2R8Y5C5|A0A2R8Y5C5_HUMAN Phospholipid-transporting ATPase OS=Homo sapiens OX=9606 GN=ATP8B1 PE=1 SV=1,775,6248.2,6617.9,6769.2,12771,12925,12877,21253,15686,16917,0,0,0,0,0,0,0,0,0
A0A2R8Y5H9,Kinase suppressor of Ras 1,KSR1,tr|A0A2R8Y5H9|A0A2R8Y5H9_HUMAN Kinase suppressor of Ras 1 OS=Homo sapiens OX=9606 GN=KSR1 PE=1 SV=1;sp|Q8IVT5|KSR1_HUMAN Kinase suppressor of Ras 1 OS=Homo sapiens OX=9606 GN=KSR1 PE=1 SV=3;tr|A0A2R8Y4X0|A0A2R8Y4X0_HUMAN Kinase suppressor of Ras 1 OS=Homo ,776,0,0,0,0,0,0,0,0,0,0,0,0,1449.8,0,852.85,2086.5,938.14,0
E5RG74,Brain-specific angiogenesis inhibitor 1,ADGRB1;BAI1,tr|E5RG74|E5RG74_HUMAN Adhesion G protein-coupled receptor B1 OS=Homo sapiens OX=9606 GN=ADGRB1 PE=1 SV=1;tr|A0A2R8Y5M7|A0A2R8Y5M7_HUMAN Adhesion G protein-coupled receptor B1 OS=Homo sapiens OX=9606 GN=ADGRB1 PE=1 SV=1;sp|O14514|AGRB1_HUMAN Adhesion G pro,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q92574,Hamartin,TSC1,sp|Q92574|TSC1_HUMAN Hamartin OS=Homo sapiens OX=9606 GN=TSC1 PE=1 SV=2;tr|A0A2R8Y5N2|A0A2R8Y5N2_HUMAN Hamartin OS=Homo sapiens OX=9606 GN=TSC1 PE=1 SV=1;tr|A0A2R8Y5S3|A0A2R8Y5S3_HUMAN Hamartin OS=Homo sapiens OX=9606 GN=TSC1 PE=1 SV=1;tr|A0A2R8YFV7|A0A2R8,779,272160,236430,219400,277970,274450,279660,260220,217220,225770,206510,148630,171800,198180,205200,197340,160350,167470,173660
A0A2R8Y5P7,"Probable histidine--tRNA ligase, mitochondrial",HARS2,"tr|A0A2R8Y5P7|A0A2R8Y5P7_HUMAN Probable histidine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=HARS2 PE=1 SV=1;sp|P49590|SYHM_HUMAN Probable histidine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=HARS2 PE=1 SV=1;tr|A0A2R8Y3N3|A0A2R8Y3N3",780,2548800,2394400,2099100,1046300,1093100,1149300,2000700,1733200,1785800,1733700,1331100,1407700,686780,744250,668630,1237100,1138500,1231000
A0A2R8Y5S7,Radixin,RDX,tr|A0A2R8Y5S7|A0A2R8Y5S7_HUMAN Radixin OS=Homo sapiens OX=9606 GN=RDX PE=1 SV=1;sp|P35241|RADI_HUMAN Radixin OS=Homo sapiens OX=9606 GN=RDX PE=1 SV=1;tr|A0A2R8Y7M3|A0A2R8Y7M3_HUMAN Radixin OS=Homo sapiens OX=9606 GN=RDX PE=1 SV=1,781,15134000,12842000,12561000,10167000,9960600,10476000,8980300,7278700,7883900,18430000,13576000,14944000,11273000,10843000,11115000,8828100,8457600,9235100
A0A2R8Y5U1,Putative Polycomb group protein ASXL1,ASXH1;ASXL1,"tr|A0A2R8Y5U1|A0A2R8Y5U1_HUMAN Putative Polycomb group protein ASXL1 OS=Homo sapiens OX=9606 GN=ASXL1 PE=1 SV=1;tr|Q76L82|Q76L82_HUMAN Additional sex combs like 1 (Drosophila), isoform CRA_d OS=Homo sapiens OX=9606 GN=ASXL1 PE=1 SV=1;sp|Q8IXJ9|ASXL1_HUMAN ",782,805810,621430,570580,406050,304080,420960,612360,555040,515130,0,0,0,0,0,0,0,0,0
A0A2R8Y602,,,tr|A0A2R8Y602|A0A2R8Y602_HUMAN Caseinolytic peptidase B protein homolog (Fragment) OS=Homo sapiens OX=9606 GN=CLPB PE=1 SV=1,784,232180,222200,203180,212120,202380,205270,294450,262040,250450,254360,224110,211720,196290,210800,221110,265380,257540,289830
A0A2R8Y611,,,tr|A0A2R8Y611|A0A2R8Y611_HUMAN AP-3 complex subunit delta-1 (Fragment) OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1,785,420190,317040,313760,357290,321870,425680,249480,177110,197060,79793,48272,72090,73376,91400,70957,39001,46158,43676
A0A2R8Y614,Rho guanine nucleotide exchange factor 35,ARHGEF35,tr|A0A2R8Y614|A0A2R8Y614_HUMAN Rho guanine nucleotide exchange factor 35 OS=Homo sapiens OX=9606 GN=ARHGEF35 PE=1 SV=1;sp|A5YM69|ARG35_HUMAN Rho guanine nucleotide exchange factor 35 OS=Homo sapiens OX=9606 GN=ARHGEF35 PE=1 SV=1,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A2R8Y623,,,tr|A0A2R8Y623|A0A2R8Y623_HUMAN 40S ribosomal protein S7 (Fragment) OS=Homo sapiens OX=9606 GN=RPS7 PE=1 SV=1,787,17393,15524,19867,108870,99464,119920,20401,15190,23995,195370,104470,111410,525960,587340,528320,58273,102110,84804
A0A2R8Y635,,ATP13A3,tr|A0A2R8Y635|A0A2R8Y635_HUMAN Cation-transporting ATPase (Fragment) OS=Homo sapiens OX=9606 GN=ATP13A3 PE=1 SV=1;tr|A0A087WYY3|A0A087WYY3_HUMAN Cation-transporting ATPase OS=Homo sapiens OX=9606 GN=ATP13A3 PE=1 SV=1,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A2R8Y653,Uridine-cytidine kinase 2,UCK2,tr|A0A2R8Y653|A0A2R8Y653_HUMAN Uridine-cytidine kinase 2 OS=Homo sapiens OX=9606 GN=UCK2 PE=1 SV=1;sp|Q9BZX2|UCK2_HUMAN Uridine-cytidine kinase 2 OS=Homo sapiens OX=9606 GN=UCK2 PE=1 SV=1,790,1811500,1560500,1540700,1550600,1259700,1448000,1533100,1377500,1411000,2177400,1700300,1875600,1543400,1492800,1484200,1603800,1608400,1679000
A0A2R8Y661,,,tr|A0A2R8Y661|A0A2R8Y661_HUMAN Rap guanine nucleotide exchange factor 2 OS=Homo sapiens OX=9606 GN=RAPGEF2 PE=1 SV=1,791,73629,53543,54326,167860,168890,172730,67855,62597,69402,135580,92740,112040,198370,211790,184820,67935,63967,79957
Q9P2P5,E3 ubiquitin-protein ligase HECW2,HECW2,sp|Q9P2P5|HECW2_HUMAN E3 ubiquitin-protein ligase HECW2 OS=Homo sapiens OX=9606 GN=HECW2 PE=1 SV=2;tr|A0A2R8Y6F3|A0A2R8Y6F3_HUMAN E3 ubiquitin-protein ligase HECW2 OS=Homo sapiens OX=9606 GN=HECW2 PE=1 SV=1,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A2R8Y6F8,,CASK,tr|A0A2R8Y6F8|A0A2R8Y6F8_HUMAN Peripheral plasma membrane protein CASK OS=Homo sapiens OX=9606 GN=CASK PE=1 SV=1;tr|A0A2R8YFN5|A0A2R8YFN5_HUMAN Peripheral plasma membrane protein CASK OS=Homo sapiens OX=9606 GN=CASK PE=1 SV=1;tr|Q5JS72|Q5JS72_HUMAN Periphe,793,504050,545420,477560,1108900,982870,1085500,585110,618800,566640,1208400,890030,1027000,2397700,2288100,2107800,1259900,1269300,1355500
O75140,DEP domain-containing protein 5,DEPDC5,sp|O75140|DEPD5_HUMAN GATOR complex protein DEPDC5 OS=Homo sapiens OX=9606 GN=DEPDC5 PE=1 SV=2;tr|A0A2R8Y7U0|A0A2R8Y7U0_HUMAN GATOR complex protein DEPDC5 OS=Homo sapiens OX=9606 GN=DEPDC5 PE=1 SV=1;tr|A0A2R8Y6H3|A0A2R8Y6H3_HUMAN GATOR complex protein DEPD,794,0,0,0,0,0,0,0,0,0,32512,19100,26677,13071,17011,13388,11759,13917,12390
A0A2R8Y6I6,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,DYRK1A,tr|A0A2R8Y6I6|A0A2R8Y6I6_HUMAN Dual-specificity tyrosine-phosphorylation-regulated kinase 1A OS=Homo sapiens OX=9606 GN=DYRK1A PE=1 SV=1;sp|Q13627|DYR1A_HUMAN Dual specificity tyrosine-phosphorylation-regulated kinase 1A OS=Homo sapiens OX=9606 GN=DYRK1A P,795,72199,67226,63662,69749,55104,62576,71461,61732,64946,207080,144630,156400,156940,159930,146670,158300,145810,157500
E5RHZ7,Eyes absent homolog;Eyes absent homolog 1,EYA1,tr|E5RHZ7|E5RHZ7_HUMAN Eyes absent homolog (Fragment) OS=Homo sapiens OX=9606 GN=EYA1 PE=1 SV=2;tr|E7EQM5|E7EQM5_HUMAN Eyes absent homolog OS=Homo sapiens OX=9606 GN=EYA1 PE=1 SV=1;tr|A0A2R8YGM9|A0A2R8YGM9_HUMAN Eyes absent homolog OS=Homo sapiens OX=9606 ,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A2R8Y7W8,Male-enhanced antigen 1,MEA1,tr|A0A2R8Y7W8|A0A2R8Y7W8_HUMAN Male-enhanced antigen 1 OS=Homo sapiens OX=9606 GN=MEA1 PE=1 SV=1;tr|A0A2R8Y6W5|A0A2R8Y6W5_HUMAN Male-enhanced antigen 1 OS=Homo sapiens OX=9606 GN=MEA1 PE=1 SV=1;sp|Q16626|MEA1_HUMAN Male-enhanced antigen 1 OS=Homo sapiens O,798,531870,465380,448080,1581300,1450000,1555600,694730,672230,715500,549240,381220,454460,1353200,1400800,1326100,568850,567340,581700
A0A2R8YDQ9,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial",SUCLA2,"tr|A0A2R8YDQ9|A0A2R8YDQ9_HUMAN Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLA2 PE=1 SV=1;tr|A0A2R8Y6Y7|A0A2R8Y6Y7_HUMAN Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=960",799,5789100,5461400,4672900,2582000,2378200,2545100,6318900,5286700,5530300,4440600,3251100,3712200,1886600,1704300,1671600,4083500,3970100,4143700
A0A2R8Y738,Ribosomal protein L15,RPL15,tr|A0A2R8Y738|A0A2R8Y738_HUMAN Ribosomal protein L15 (Fragment) OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=1;tr|E7EX53|E7EX53_HUMAN Ribosomal protein L15 (Fragment) OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=1,800,40927,21709,21925,18189,18532,13295,12634,16034,26772,180560,110970,118900,78756,45373,66047,39876,48921,72615
A0A2R8Y783,,,tr|A0A2R8Y783|A0A2R8Y783_HUMAN Protein 4.1 (Fragment) OS=Homo sapiens OX=9606 GN=EPB41 PE=1 SV=1,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A2R8Y793,,ACTB,"tr|A0A2R8Y793|A0A2R8Y793_HUMAN Actin, cytoplasmic 1 (Fragment) OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1;tr|G5E9R0|G5E9R0_HUMAN Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1;tr|E7EVS6|E7EVS6_HUMAN Actin, cytoplasmic 1 (Fragment) OS=Homo sa",803,145760,116170,87923,137990,113530,105990,105650,92091,92045,0,0,0,0,0,0,0,0,0
F5H029,Protein FAM65B,FAM65B,tr|F5H029|F5H029_HUMAN Rho family-interacting cell polarization regulator 2 OS=Homo sapiens OX=9606 GN=RIPOR2 PE=1 SV=1;tr|A0A2R8Y7B3|A0A2R8Y7B3_HUMAN Rho family-interacting cell polarization regulator 2 OS=Homo sapiens OX=9606 GN=RIPOR2 PE=1 SV=1;tr|B7Z6U,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P49815,Tuberin,TSC2,sp|P49815|TSC2_HUMAN Tuberin OS=Homo sapiens OX=9606 GN=TSC2 PE=1 SV=2;tr|A0A2R8YGD6|A0A2R8YGD6_HUMAN Tuberin OS=Homo sapiens OX=9606 GN=TSC2 PE=1 SV=1;tr|A0A2R8Y7C8|A0A2R8Y7C8_HUMAN Tuberin OS=Homo sapiens OX=9606 GN=TSC2 PE=1 SV=1;tr|A0A2R8YDR3|A0A2R8YDR,806,329170,289370,265900,325750,323280,340100,303980,267510,244620,287540,203170,249030,243170,224330,224550,208200,198750,227040
A0A2R8Y7P6,Ataxin-2,ATXN2,tr|A0A2R8Y7P6|A0A2R8Y7P6_HUMAN Ataxin-2 OS=Homo sapiens OX=9606 GN=ATXN2 PE=1 SV=1;tr|V9GY86|V9GY86_HUMAN Ataxin-2 OS=Homo sapiens OX=9606 GN=ATXN2 PE=1 SV=1;tr|H0YH87|H0YH87_HUMAN Ataxin-2 OS=Homo sapiens OX=9606 GN=ATXN2 PE=1 SV=2;tr|A0A2R8YDM9|A0A2R8YDM,807,1755800,1629400,1557100,1572100,1505900,1524100,1379300,1250500,1297200,2198900,1641400,1838500,1649400,1632100,1572800,1383400,1439700,1533600
H3BS66,Small integral membrane protein 1,SMIM1,tr|H3BS66|H3BS66_HUMAN Small integral membrane protein 1 OS=Homo sapiens OX=9606 GN=SMIM1 PE=1 SV=1;tr|A0A2R8Y7R4|A0A2R8Y7R4_HUMAN Small integral membrane protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=SMIM1 PE=1 SV=1;sp|B2RUZ4|SMIM1_HUMAN Small integral ,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A2R8Y7R9,Liprin-alpha-1,PPFIA1,tr|A0A2R8Y7R9|A0A2R8Y7R9_HUMAN Liprin-alpha-1 (Fragment) OS=Homo sapiens OX=9606 GN=PPFIA1 PE=1 SV=1;sp|Q13136|LIPA1_HUMAN Liprin-alpha-1 OS=Homo sapiens OX=9606 GN=PPFIA1 PE=1 SV=1;tr|E9PJZ7|E9PJZ7_HUMAN Liprin-alpha-1 OS=Homo sapiens OX=9606 GN=PPFIA1 PE,809,1756300,1549700,1507000,1570300,1506200,1521000,2376900,2069400,2155500,1901100,1469000,1624000,1588400,1577900,1473900,2142400,2150200,2301700
V9GYK6,Sodium bicarbonate transporter-like protein 11,SLC4A11,tr|V9GYK6|V9GYK6_HUMAN Sodium bicarbonate transporter-like protein 11 OS=Homo sapiens OX=9606 GN=SLC4A11 PE=1 SV=1;tr|A0A2R8YFD9|A0A2R8YFD9_HUMAN Sodium bicarbonate transporter-like protein 11 OS=Homo sapiens OX=9606 GN=SLC4A11 PE=1 SV=1;tr|A0A2R8Y7S1|A0A2,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A2R8Y7W5,,,tr|A0A2R8Y7W5|A0A2R8Y7W5_HUMAN Cyclin-dependent kinase 13 (Fragment) OS=Homo sapiens OX=9606 GN=CDK13 PE=1 SV=1;tr|A0A2R8YF61|A0A2R8YF61_HUMAN Cyclin-dependent kinase 13 (Fragment) OS=Homo sapiens OX=9606 GN=CDK13 PE=1 SV=1,811,6518.3,4645,6611.1,8628.5,6541.6,7921,5151.2,5523.9,6136.1,144770,102350,129620,178900,182930,174510,112220,119480,130720
